Song_title,Artist,genre,release_date,topic,len,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
the little man who wasn't there,glenn miller,jazz,1991.0,sadness,59.0,3ZDS2we70XCOEndkITg8Ft,0.734,0.422,10.0,-10.772,1.0,0.175,0.868,0.0371,0.114,0.577,88.387,audio_features,3ZDS2we70XCOEndkITg8Ft,spotify:track:3ZDS2we70XCOEndkITg8Ft,https://api.spotify.com/v1/tracks/3ZDS2we70XCOEndkITg8Ft,https://api.spotify.com/v1/audio-analysis/3ZDS2we70XCOEndkITg8Ft,182827.0,4.0
american psycho,misfits,rock,1997.0,violence,95.0,77v5yDwMLiJlIsHNJQxXrY,0.484,0.995,7.0,-5.3,1.0,0.102,0.000248,0.00113,0.381,0.0771,109.556,audio_features,77v5yDwMLiJlIsHNJQxXrY,spotify:track:77v5yDwMLiJlIsHNJQxXrY,https://api.spotify.com/v1/tracks/77v5yDwMLiJlIsHNJQxXrY,https://api.spotify.com/v1/audio-analysis/77v5yDwMLiJlIsHNJQxXrY,126907.0,4.0
somebody that i used to know,elliott smith,pop,2000.0,sadness,33.0,4xfAVJL8R7mVYbDk8a9xOY,0.576,0.367,1.0,-14.785,1.0,0.03,0.432,2.24e-06,0.124,0.77,108.446,audio_features,4xfAVJL8R7mVYbDk8a9xOY,spotify:track:4xfAVJL8R7mVYbDk8a9xOY,https://api.spotify.com/v1/tracks/4xfAVJL8R7mVYbDk8a9xOY,https://api.spotify.com/v1/audio-analysis/4xfAVJL8R7mVYbDk8a9xOY,129333.0,4.0
juke box blues,june carter cash,country,1952.0,music,75.0,5x46pk7OZUv1WWiP6iEdMy,0.854,0.356,6.0,-8.78,1.0,0.0609,0.863,0.000675,0.131,0.845,113.283,audio_features,5x46pk7OZUv1WWiP6iEdMy,spotify:track:5x46pk7OZUv1WWiP6iEdMy,https://api.spotify.com/v1/tracks/5x46pk7OZUv1WWiP6iEdMy,https://api.spotify.com/v1/audio-analysis/5x46pk7OZUv1WWiP6iEdMy,138600.0,4.0
"karn evil 9 1st impression, pt. 1","emerson, lake & palmer",jazz,1973.0,violence,95.0,7dl8eQGk8e7ZN6vNLo4KAg,0.394,0.61,1.0,-14.842,1.0,0.0542,0.243,0.00209,0.0816,0.717,129.331,audio_features,7dl8eQGk8e7ZN6vNLo4KAg,spotify:track:7dl8eQGk8e7ZN6vNLo4KAg,https://api.spotify.com/v1/tracks/7dl8eQGk8e7ZN6vNLo4KAg,https://api.spotify.com/v1/audio-analysis/7dl8eQGk8e7ZN6vNLo4KAg,288253.0,4.0
another love song,queens of the stone age,blues,2002.0,music,70.0,5HjEC3NlSzKsVKmqnhXrum,0.376,0.756,9.0,-4.93,1.0,0.0657,0.136,0.0155,0.376,0.454,146.114,audio_features,5HjEC3NlSzKsVKmqnhXrum,spotify:track:5HjEC3NlSzKsVKmqnhXrum,https://api.spotify.com/v1/tracks/5HjEC3NlSzKsVKmqnhXrum,https://api.spotify.com/v1/audio-analysis/5HjEC3NlSzKsVKmqnhXrum,195558.0,4.0
immortal,adema,rock,2002.0,violence,50.0,4pawqkNZXTbqrYAd0I5Wtb,0.482,0.938,6.0,-4.727,1.0,0.0978,0.000254,0.177,0.0493,0.392,102.852,audio_features,4pawqkNZXTbqrYAd0I5Wtb,spotify:track:4pawqkNZXTbqrYAd0I5Wtb,https://api.spotify.com/v1/tracks/4pawqkNZXTbqrYAd0I5Wtb,https://api.spotify.com/v1/audio-analysis/4pawqkNZXTbqrYAd0I5Wtb,249893.0,4.0
stop! in the name of love,the supremes,pop,1965.0,sadness,84.0,52FlwUMMDnTK8TGkCag9Jd,0.612,0.444,0.0,-12.752,1.0,0.0293,0.531,0.0,0.126,0.503,114.961,audio_features,52FlwUMMDnTK8TGkCag9Jd,spotify:track:52FlwUMMDnTK8TGkCag9Jd,https://api.spotify.com/v1/tracks/52FlwUMMDnTK8TGkCag9Jd,https://api.spotify.com/v1/audio-analysis/52FlwUMMDnTK8TGkCag9Jd,172907.0,4.0
bewildered,the notting hillbillies,country,1990.0,sadness,41.0,3OhkFJSKPlrqjozVsBSami,0.463,0.232,5.0,-17.463,0.0,0.0339,0.859,0.000265,0.189,0.537,116.062,audio_features,3OhkFJSKPlrqjozVsBSami,spotify:track:3OhkFJSKPlrqjozVsBSami,https://api.spotify.com/v1/tracks/3OhkFJSKPlrqjozVsBSami,https://api.spotify.com/v1/audio-analysis/3OhkFJSKPlrqjozVsBSami,155493.0,3.0
hyper,sticky fingers,reggae,2019.0,obscene,132.0,2VkhnzJ1D0ipwbFbggo3Ry,0.364,0.836,3.0,-5.08,1.0,0.122,0.284,0.0,0.147,0.58,151.843,audio_features,2VkhnzJ1D0ipwbFbggo3Ry,spotify:track:2VkhnzJ1D0ipwbFbggo3Ry,https://api.spotify.com/v1/tracks/2VkhnzJ1D0ipwbFbggo3Ry,https://api.spotify.com/v1/audio-analysis/2VkhnzJ1D0ipwbFbggo3Ry,206134.0,4.0
